날짜,종가,시가,고가,저가,거래량,변동 %
2025-12-24,"1,877.00","1,877.00","1,877.00","1,877.00",,-0.64%
2025-12-23,"1,889.00","1,889.00","1,889.00","1,889.00",,-4.55%
2025-12-22,"1,979.00","1,979.00","1,979.00","1,979.00",,-2.17%
2025-12-19,"2,023.00","2,023.00","2,023.00","2,023.00",,-2.32%
2025-12-18,"2,071.00","2,071.00","2,071.00","2,071.00",,-2.36%
2025-12-17,"2,121.00","2,121.00","2,121.00","2,121.00",,-3.77%
2025-12-16,"2,204.00","2,204.00","2,204.00","2,204.00",,0.50%
2025-12-15,"2,193.00","2,193.00","2,193.00","2,193.00",,-0.54%
2025-12-12,"2,205.00","2,205.00","2,205.00","2,205.00",,-3.88%
2025-12-11,"2,294.00","2,294.00","2,294.00","2,294.00",,-5.60%
2025-12-10,"2,430.00","2,430.00","2,430.00","2,430.00",,-4.97%
2025-12-09,"2,557.00","2,557.00","2,557.00","2,557.00",,-5.09%
2025-12-08,"2,694.00","2,694.00","2,694.00","2,694.00",,-1.21%
2025-12-05,"2,727.00","2,727.00","2,727.00","2,727.00",,-3.09%
2025-12-04,"2,814.00","2,814.00","2,814.00","2,814.00",,-1.09%
2025-12-03,"2,845.00","2,845.00","2,845.00","2,845.00",,9.42%
2025-12-02,"2,600.00","2,600.00","2,600.00","2,600.00",,0.66%
2025-12-01,"2,583.00","2,583.00","2,583.00","2,583.00",,0.90%
2025-11-28,"2,560.00","2,560.00","2,560.00","2,560.00",,3.23%
2025-11-27,"2,480.00","2,480.00","2,480.00","2,480.00",,3.29%
2025-11-26,"2,401.00","2,401.00","2,401.00","2,401.00",,3.98%
2025-11-25,"2,309.00","2,309.00","2,309.00","2,309.00",,0.61%
2025-11-24,"2,295.00","2,295.00","2,295.00","2,295.00",,0.88%
2025-11-21,"2,275.00","2,275.00","2,275.00","2,275.00",,0.22%
2025-11-20,"2,270.00","2,270.00","2,270.00","2,270.00",,0.44%
2025-11-19,"2,260.00","2,260.00","2,260.00","2,260.00",,1.99%
2025-11-18,"2,216.00","2,216.00","2,216.00","2,216.00",,2.93%
2025-11-17,"2,153.00","2,153.00","2,153.00","2,153.00",,1.32%
2025-11-14,"2,125.00","2,125.00","2,125.00","2,125.00",,2.31%
2025-11-13,"2,077.00","2,077.00","2,077.00","2,077.00",,2.32%
2025-11-12,"2,030.00","2,030.00","2,030.00","2,030.00",,-2.03%
2025-11-11,"2,072.00","2,072.00","2,072.00","2,072.00",,-0.58%
2025-11-10,"2,084.00","2,084.00","2,084.00","2,084.00",,-0.95%
2025-11-07,"2,104.00","2,104.00","2,104.00","2,104.00",,1.99%
2025-11-06,"2,063.00","2,063.00","2,063.00","2,063.00",,3.00%
2025-11-05,"2,003.00","2,003.00","2,003.00","2,003.00",,2.30%
2025-11-04,"1,958.00","1,958.00","1,958.00","1,958.00",,0.67%
2025-11-03,"1,945.00","1,945.00","1,945.00","1,945.00",,-1.07%
2025-10-31,"1,966.00","1,966.00","1,966.00","1,966.00",,-0.86%
2025-10-30,"1,983.00","1,983.00","1,983.00","1,983.00",,1.12%
2025-10-29,"1,961.00","1,961.00","1,961.00","1,961.00",,0.56%
2025-10-28,"1,950.00","1,950.00","1,950.00","1,950.00",,-1.32%
2025-10-27,"1,976.00","1,976.00","1,976.00","1,976.00",,-0.75%
2025-10-24,"1,991.00","1,991.00","1,991.00","1,991.00",,-3.21%
2025-10-23,"2,057.00","2,057.00","2,057.00","2,057.00",,-1.77%
2025-10-21,"2,094.00","2,094.00","2,094.00","2,094.00",,1.11%
2025-10-20,"2,071.00","2,069.00","2,071.00","2,069.00",,0.10%
2025-10-17,"2,069.00","2,069.00","2,069.00","2,069.00",,1.12%
2025-10-16,"2,046.00","2,046.00","2,046.00","2,046.00",,2.45%
2025-10-15,"1,997.00","1,997.00","1,997.00","1,997.00",,-1.24%
2025-10-14,"2,022.00","2,022.00","2,022.00","2,022.00",,-5.69%
2025-10-13,"2,144.00","2,144.00","2,144.00","2,144.00",,10.74%
2025-10-10,"1,936.00","1,936.00","1,936.00","1,936.00",,0.68%
2025-10-09,"1,923.00","1,923.00","1,923.00","1,923.00",,-2.04%
2025-10-08,"1,963.00","1,963.00","1,963.00","1,963.00",,0.82%
2025-10-07,"1,947.00","1,947.00","1,947.00","1,947.00",,0.78%
2025-10-06,"1,932.00","1,932.00","1,932.00","1,932.00",,1.63%
2025-10-03,"1,901.00","1,901.00","1,901.00","1,901.00",,-0.42%
2025-10-02,"1,909.00","1,909.00","1,909.00","1,909.00",,-3.59%
2025-10-01,"1,980.00","1,980.00","1,980.00","1,980.00",,-7.22%
2025-09-30,"2,134.00","2,134.00","2,134.00","2,134.00",,-3.87%
2025-09-29,"2,220.00","2,220.00","2,220.00","2,220.00",,-1.73%
2025-09-26,"2,259.00","2,259.00","2,259.00","2,259.00",,-0.31%
2025-09-25,"2,266.00","2,266.00","2,266.00","2,266.00",,1.16%
2025-09-24,"2,240.00","2,240.00","2,240.00","2,240.00",,1.82%
2025-09-23,"2,200.00","2,200.00","2,200.00","2,200.00",,1.29%
2025-09-22,"2,172.00","2,172.00","2,172.00","2,172.00",,-1.41%
2025-09-19,"2,203.00","2,203.00","2,203.00","2,203.00",,-0.09%
2025-09-18,"2,205.00","2,205.00","2,205.00","2,205.00",,1.15%
