month,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA,SHARE_GPR,N10,SHARE_GPRH,N3H,GPRH_NOEW,GPR_NOEW,GPRH_AND,GPR_AND,GPRH_BASIC,GPR_BASIC,SHAREH_CAT_1,SHAREH_CAT_2,SHAREH_CAT_3,SHAREH_CAT_4,SHAREH_CAT_5,SHAREH_CAT_6,SHAREH_CAT_7,SHAREH_CAT_8,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF,var_name,var_label
1990-01-01,81.54,76.01,80.73,70.66,79.02,60.49,2.45,24409,2.55,11495,99.44,73.89,73.19,86.08,79.69,59.65,0.31,0.03,0.90,0.29,0.07,0.35,0.61,0.32,0.02,0.06,0.03,0.01,0.13,0.02,0.00,0.23,0.16,0.20,0.00,0.06,0.06,0.02,0.31,0.31,0.02,0.11,0.02,0.12,0.14,0.08,0.15,0.09,0.10,0.00,0.03,0.02,0.18,0.10,0.20,0.02,0.91,0.02,0.03,0.07,0.01,0.09,0.02,0.02,1.92,0.02,0.06,0.07,0.02,0.06,0.03,0.01,0.10,0.03,0.01,0.25,0.18,0.17,0.00,0.08,0.08,0.01,0.39,0.35,0.01,0.11,0.02,0.17,0.15,0.08,0.12,0.03,0.13,0.00,0.02,0.01,0.20,0.09,0.19,0.02,0.94,0.04,0.03,0.07,0.01,0.15,0.01,0.03,2.46,0.03,0.13,0.07,,
1990-02-01,77.41,81.11,65.39,70.49,88.42,51.75,2.32,22397,2.54,10578,92.93,68.45,71.74,82.31,82.30,65.41,0.36,0.06,0.72,0.58,0.09,0.35,0.51,0.22,0.01,0.04,0.03,0.02,0.13,0.04,0.01,0.17,0.10,0.44,0.01,0.08,0.08,0.04,0.31,0.34,0.01,0.12,0.03,0.13,0.24,0.11,0.21,0.09,0.03,0.00,0.04,0.02,0.08,0.07,0.29,0.02,0.86,0.07,0.04,0.04,0.02,0.10,0.01,0.01,1.92,0.00,0.06,0.18,0.01,0.04,0.03,0.04,0.07,0.05,0.01,0.24,0.09,0.56,0.02,0.11,0.09,0.03,0.37,0.41,0.00,0.13,0.04,0.13,0.29,0.10,0.20,0.10,0.04,0.00,0.04,0.02,0.08,0.06,0.43,0.03,1.07,0.10,0.05,0.04,0.03,0.09,0.00,0.02,2.42,0.00,0.12,0.16,,
1990-03-01,67.59,68.19,59.72,61.83,75.67,47.26,2.03,25748,2.23,11792,83.73,62.94,67.62,79.47,63.63,51.13,0.24,0.05,0.64,0.43,0.20,0.22,0.46,0.33,0.02,0.02,0.03,0.05,0.11,0.01,0.06,0.11,0.05,0.30,0.00,0.08,0.05,0.02,0.23,0.29,0.01,0.10,0.01,0.08,0.27,0.07,0.12,0.04,0.07,0.00,0.02,0.01,0.06,0.06,0.20,0.02,0.81,0.04,0.03,0.02,0.02,0.03,0.01,0.05,1.60,0.03,0.01,0.13,0.03,0.00,0.03,0.05,0.04,0.02,0.06,0.12,0.05,0.32,0.00,0.08,0.08,0.02,0.26,0.25,0.01,0.14,0.01,0.10,0.35,0.08,0.14,0.04,0.07,0.01,0.02,0.01,0.08,0.08,0.25,0.01,0.91,0.07,0.01,0.03,0.02,0.06,0.01,0.03,2.04,0.06,0.02,0.16,,
1990-04-01,81.64,97.98,54.79,70.29,95.01,43.15,2.45,24420,2.54,11201,93.56,72.55,66.00,77.54,65.54,54.76,0.33,0.07,0.82,0.71,0.16,0.33,0.32,0.28,0.03,0.02,0.12,0.04,0.20,0.07,0.01,0.15,0.07,0.43,0.02,0.10,0.04,0.02,0.36,0.49,0.01,0.08,0.00,0.18,0.51,0.07,0.09,0.07,0.05,0.00,0.05,0.05,0.03,0.06,0.20,0.00,1.03,0.07,0.05,0.03,0.02,0.05,0.01,0.05,1.96,0.01,0.03,0.10,0.02,0.02,0.14,0.04,0.17,0.08,0.01,0.16,0.07,0.45,0.01,0.12,0.05,0.04,0.48,0.52,0.02,0.10,0.00,0.18,0.54,0.08,0.10,0.05,0.03,0.00,0.04,0.04,0.02,0.04,0.25,0.01,1.12,0.07,0.04,0.05,0.02,0.07,0.01,0.05,2.39,0.02,0.06,0.09,,
1990-05-01,86.41,97.82,66.84,79.51,109.38,52.34,2.59,25196,2.87,11401,97.61,73.68,68.70,80.71,74.65,56.02,0.38,0.08,0.77,0.91,0.17,0.29,0.43,0.40,0.01,0.02,0.16,0.03,0.27,0.02,0.01,0.17,0.06,0.68,0.02,0.11,0.05,0.02,0.41,0.45,0.02,0.12,0.02,0.20,0.41,0.11,0.13,0.07,0.08,0.01,0.08,0.02,0.03,0.07,0.37,0.01,1.14,0.06,0.04,0.03,0.03,0.05,0.03,0.04,2.11,0.01,0.03,0.09,0.02,0.04,0.23,0.03,0.19,0.02,0.02,0.18,0.04,0.80,0.02,0.11,0.06,0.00,0.54,0.49,0.03,0.11,0.01,0.19,0.46,0.14,0.12,0.07,0.06,0.02,0.08,0.01,0.02,0.05,0.46,0.01,1.32,0.09,0.04,0.04,0.05,0.05,0.02,0.04,2.73,0.02,0.06,0.06,,
1990-06-01,79.68,72.85,80.65,69.35,75.58,62.14,2.39,24101,2.50,10952,90.02,70.21,67.00,79.84,71.48,57.09,0.28,0.12,0.44,0.62,0.14,0.33,0.51,0.47,0.01,0.05,0.05,0.03,0.13,0.02,0.01,0.18,0.08,0.49,0.08,0.15,0.03,0.03,0.30,0.34,0.02,0.09,0.01,0.17,0.56,0.10,0.21,0.09,0.10,0.00,0.03,0.02,0.05,0.07,0.25,0.02,0.93,0.02,0.04,0.02,0.11,0.06,0.02,0.02,1.99,0.02,0.01,0.17,0.00,0.04,0.07,0.02,0.10,0.02,0.00,0.13,0.07,0.47,0.06,0.23,0.04,0.04,0.34,0.37,0.01,0.10,0.02,0.18,0.56,0.12,0.21,0.08,0.09,0.00,0.03,0.01,0.05,0.06,0.31,0.02,0.91,0.04,0.04,0.01,0.15,0.07,0.01,0.03,2.39,0.02,0.03,0.14,,
1990-07-01,85.79,82.37,81.85,73.71,80.59,65.57,2.57,23668,2.66,10605,91.75,73.11,66.46,84.81,69.22,54.37,0.22,0.06,0.63,0.64,0.07,0.34,0.73,0.35,0.03,0.03,0.11,0.04,0.37,0.04,0.03,0.19,0.08,0.53,0.00,0.11,0.08,0.00,0.41,0.64,0.03,0.08,0.06,0.18,0.30,0.12,0.25,0.04,0.06,0.05,0.05,0.01,0.03,0.08,0.30,0.02,0.84,0.10,0.04,0.05,0.02,0.05,0.03,0.05,2.00,0.03,0.07,0.14,0.03,0.02,0.13,0.05,0.21,0.03,0.02,0.24,0.09,0.59,0.00,0.12,0.11,0.00,0.50,0.70,0.03,0.08,0.07,0.09,0.29,0.15,0.25,0.05,0.05,0.06,0.05,0.00,0.03,0.09,0.39,0.02,0.95,0.09,0.01,0.07,0.03,0.06,0.03,0.06,2.49,0.05,0.15,0.12,,
1990-08-01,250.45,353.76,128.25,191.89,314.06,89.01,7.51,24188,6.92,10748,210.02,184.60,107.12,151.62,265.05,226.92,1.04,0.11,4.75,0.55,0.38,0.60,1.07,0.28,0.10,0.24,0.37,0.14,0.86,0.21,0.02,0.58,0.09,0.96,0.08,1.26,0.30,0.07,1.65,2.11,0.08,0.06,0.14,0.70,1.12,0.41,1.07,0.31,0.12,0.08,0.27,0.10,0.05,0.24,0.14,0.12,1.98,3.57,0.13,0.07,0.10,1.09,0.04,0.03,6.41,0.31,0.23,0.22,0.10,0.16,0.39,0.09,0.40,0.16,0.03,0.54,0.07,0.88,0.08,1.59,0.26,0.11,1.63,2.06,0.05,0.07,0.13,0.68,1.14,0.47,1.00,0.24,0.14,0.12,0.20,0.11,0.05,0.20,0.19,0.13,1.97,3.42,0.12,0.07,0.08,1.14,0.04,0.03,6.54,0.24,0.51,0.18,,
1990-09-01,188.66,262.12,106.95,143.62,239.73,64.97,5.66,24087,5.18,11233,161.30,134.00,90.34,119.95,213.41,179.63,0.88,0.05,3.54,0.53,0.28,0.62,0.44,0.36,0.06,0.15,0.28,0.11,0.61,0.11,0.02,0.33,0.05,0.90,0.04,1.04,0.13,0.62,1.23,1.50,0.05,0.05,0.05,0.55,0.98,0.40,0.91,0.34,0.07,0.02,0.19,0.09,0.05,0.20,0.19,0.08,1.78,2.43,0.09,0.05,0.07,0.71,0.05,0.00,4.95,0.08,0.16,0.17,0.06,0.12,0.22,0.10,0.28,0.07,0.02,0.28,0.04,0.91,0.04,1.10,0.12,0.58,1.11,1.27,0.01,0.04,0.03,0.45,1.11,0.39,0.84,0.28,0.06,0.02,0.15,0.09,0.02,0.18,0.20,0.07,1.59,2.26,0.10,0.04,0.11,0.75,0.03,0.01,4.94,0.08,0.35,0.09,,
1990-10-01,143.85,172.95,105.11,115.00,160.05,75.89,4.31,25587,4.15,11956,132.14,104.95,79.62,96.74,143.99,120.09,0.60,0.06,1.98,0.55,0.20,0.53,0.64,0.50,0.03,0.15,0.18,0.07,0.34,0.09,0.03,0.27,0.05,0.58,0.02,0.48,0.15,0.08,1.08,1.00,0.07,0.05,0.03,0.22,0.91,0.20,0.44,0.22,0.05,0.03,0.10,0.05,0.04,0.13,0.11,0.04,1.28,1.22,0.03,0.04,0.06,0.17,0.02,0.02,3.60,0.04,0.12,0.13,0.03,0.08,0.14,0.07,0.18,0.05,0.02,0.26,0.08,0.53,0.01,0.47,0.11,0.09,1.02,0.87,0.06,0.06,0.03,0.20,0.95,0.19,0.28,0.22,0.05,0.03,0.03,0.02,0.04,0.07,0.13,0.02,1.36,1.18,0.01,0.06,0.09,0.14,0.02,0.01,3.96,0.03,0.25,0.03,,
